Place Name,Latitude,Longitude,Rating, Number_Of_Reviews,Affluence
Safe & Savory - Kebab & Restaurant,23.8062601,90.3732104,5,17,$$
Melting Pot,23.737425,90.377314,4.1,146,
Onion's Restaurant,23.8053895,90.4248696,4.9,12,
Weston Restaurant,23.7331476,90.4120098,4.2,608,$$
Green House Restaurant And Convention Hall,23.736934,90.38633,4.3,795,
"Elements Restaurant, InterContinental Dhaka",23.7405591,90.3965593,4.6,462,
Laa Eatery Restaurant - লা ইটারি মোহাম্মদপুর,23.763554,90.3626317,4.1,267,
Tony Roma's,23.7475908,90.3706464,4.4,994,
El Toro Mexican Restaurant,23.7927121,90.4142501,4.1,909,
Orbit Restaurant & catering services.,23.8109811,90.3698407,4.8,17,
Jajumang Restaurant,23.7568601,90.3935189,4.7,15,
SEAGULL RESTAURANT.,23.7326727,90.4129979,4.1,634,$$
Delicious Restaurant,23.8118735,90.3674446,4.2,204,$$
Koyla Restaurant,23.7710495,90.4112127,4.1,2005,$$
Paprika Restaurant,23.7404674,90.3747116,4.1,783,$$
Shakib's 75 Restaurant,23.7459997,90.3712419,4.3,342,
Thai Chi Restaurant & Cafe,23.7647457,90.3896255,4.1,3885,$$
Boomers Cafe,23.7937058,90.4044627,4.1,1721,$$
Lucknow Dhaka,23.7932535,90.4091834,4.2,1431,$$$
Hangout Restaurant,23.7459584,90.3712285,3.9,859,$$
Chef Urbana Restaurant,23.738935,90.3938382,4.3,53,
Friends Food And Restaurant,23.8004345,90.36328,4.3,18,
Kazba Cafe & Multi Cuisine Restaurant,23.8205257,90.4210488,4.5,15,
The New Gulshan Plaza Restaurant,23.7935351,90.4143754,4.2,2803,
Cinnamon Restaurant,23.7801144,90.4067648,3.9,427,$$
CHTExpress,23.798765,90.373096,4.4,382,$$
Thirty3 Restaurant,23.7419636,90.4099307,3.9,1203,$$$
S'MORES CAFE & RESTAURANT,23.7387884,90.3788204,4,888,$$
Khushboo Restaurant,23.7818601,90.4174499,4.1,1002,$$
Boomers Café,23.7423085,90.3743314,4.1,2679,$$
The Dining Lounge,23.7519025,90.422929,3.9,2914,$$
Polton Restaurant,23.7328228,90.4124862,4.3,13,
Uthan Cafe n Restaurant,23.752237,90.3754658,4,552,$$
Zaytun Restaurant,23.778819,90.3802081,3.9,974,$$
Melting Pot (Mirpur),23.8004315,90.3554348,5,4,
Kabab Pora Restaurant (কাবাব পোড়া রেস্টুরেন্ট),23.8121386,90.4240118,4.5,12,
HEXA Dine - Restaurant & Café,23.7919289,90.4062166,4.3,333,
Rabbani Hotel & Restaurant,23.8157884,90.366404,4.1,640,$$
Tree House,23.7913392,90.4077514,4.2,2281,$$
Soul Food Restaurant & Cafe,23.7884189,90.4323526,4.3,24,
